frame,Fish1_P1_x,Fish1_P1_y,Fish1_P1_z,Fish1_P2_x,Fish1_P2_y,Fish1_P2_z,Fish1_P3_x,Fish1_P3_y,Fish1_P3_z,Fish1_P4_x,Fish1_P4_y,Fish1_P4_z,Fish1_P5_x,Fish1_P5_y,Fish1_P5_z,Fish1_P6_x,Fish1_P6_y,Fish1_P6_z,Fish1_P7_x,Fish1_P7_y,Fish1_P7_z,Fish1_P8_x,Fish1_P8_y,Fish1_P8_z,Fish1_P9_x,Fish1_P9_y,Fish1_P9_z,Fish1_P10_x,Fish1_P10_y,Fish1_P10_z,Fish1_P11_x,Fish1_P11_y,Fish1_P11_z,Fish1_P12_x,Fish1_P12_y,Fish1_P12_z,Fish1_P13_x,Fish1_P13_y,Fish1_P13_z
305,757.3935,367.6208,2.7519,747.5981,369.9056,3.4159,738.0042,370.9009,3.1376,727.8022,372.1499,2.4918,717.7843,372.7306,0.3608,707.6080,373.4227,-1.1760,697.3551,374.7337,-2.6912,687.8595,377.0571,-3.4267,678.2871,380.4954,-3.4333,668.9463,384.2088,-2.2253,659.8197,388.8762,-0.8557,650.3998,393.0520,1.1988,640.8128,395.9709,2.6311
306,759.0522,367.0498,2.0770,749.5840,369.5156,3.1917,739.8983,371.3417,3.5331,729.6931,372.6823,3.0454,719.5650,373.1422,1.5015,709.4388,373.8819,-0.2803,699.4327,374.3649,-1.8909,689.5693,376.5086,-3.1785,679.7473,378.9792,-3.4468,670.2790,383.0339,-3.3863,660.9680,387.3506,-1.6155,651.7858,391.6710,-0.0000,642.4519,395.6337,1.6522
307,760.9652,366.5945,0.8578,751.3957,369.3912,2.5039,741.5924,371.2242,3.3384,731.7175,373.0566,3.4451,721.2778,373.8072,2.4701,710.9987,374.1501,0.8482,701.3669,374.5092,-1.0077,691.4359,375.8120,-2.3074,681.6464,377.8442,-3.2866,672.0703,381.1436,-3.6892,662.7587,385.2567,-2.3779,653.4767,389.8506,-1.3511,644.0042,394.4122,0.6698
308,762.5435,365.5489,-0.0663,752.9335,369.0476,1.6268,743.4930,371.4231,3.0584,733.1651,373.1748,3.4977,723.4702,374.1185,3.3505,713.2872,374.7477,2.0343,702.7117,375.2582,0.2358,693.3395,375.8676,-1.3230,683.0384,377.2423,-3.0938,673.5755,380.0005,-3.8561,664.1483,383.5093,-3.4218,654.6352,388.1811,-2.1110,645.6001,392.7268,-0.2954
309,763.9504,364.8358,-1.1925,754.6462,368.1008,0.4727,745.2050,370.6535,2.4302,735.4346,372.9554,3.4635,725.3037,374.7910,3.6936,715.4766,375.3000,2.6067,705.0320,375.5993,1.3188,694.9393,375.9844,-0.3238,685.0488,377.0833,-2.3178,675.1026,379.1225,-3.4830,665.5323,382.0708,-3.5992,656.4940,386.1176,-2.7458,646.9336,390.8849,-1.3813
310,765.9685,363.9847,-2.1363,756.2911,367.0320,-0.7360,746.3918,370.1864,1.3369,737.0115,372.8964,2.9677,727.2257,374.8662,3.5454,717.2727,375.7769,3.1997,706.9544,376.5571,2.1785,696.8664,376.7459,0.4702,686.5793,376.8350,-0.9785,676.8050,378.1816,-3.1628,667.1660,380.5996,-3.7648,657.9143,384.4828,-3.4361,648.1932,389.2302,-2.1218
311,767.6738,363.1795,-3.0663,757.7998,366.0985,-1.4352,748.3067,369.1698,0.1109,738.6508,372.6109,1.7120,728.9056,374.7541,2.9640,718.7594,376.2604,3.4067,709.1519,377.3707,3.1249,698.7676,377.3746,1.7840,688.7042,377.3166,-0.1895,678.7736,378.1859,-1.8449,668.7134,379.7868,-3.2257,659.1449,382.5830,-3.3692,649.7638,386.8887,-3.2263
312,769.0059,361.8579,-3.3907,759.4915,364.9231,-2.5390,749.9064,368.2303,-1.2762,740.3072,371.6898,0.8367,730.6022,374.4157,2.4890,721.0632,376.3984,3.3083,711.0311,377.8401,3.6995,700.9128,377.9507,2.5491,690.7083,378.0860,0.7955,680.3868,378.4286,-0.7787,670.4168,379.2171,-2.4485,660.8070,381.7347,-3.5237,651.4310,385.0348,-3.6883
313,770.9127,361.5268,-3.4856,761.2451,364.1858,-3.3204,751.2803,367.1704,-2.0185,741.9863,370.7147,-0.0463,732.5131,373.7260,1.7838,722.8332,376.4638,2.6467,712.7420,378.3211,3.6434,703.1370,379.3046,3.2243,692.7426,379.0395,2.0422,682.6650,378.8790,0.4954,672.0724,379.4433,-1.3786,662.4813,380.8674,-3.1522,653.0537,383.7119,-3.6967
314,772.2105,360.6721,-3.4189,762.4782,363.2304,-3.4894,753.1980,366.1247,-2.6602,743.7230,369.8860,-1.4478,734.2322,372.8641,0.4586,724.7471,376.1180,2.3754,715.0146,378.2087,2.9242,704.6085,379.9045,3.3956,694.9491,379.8934,2.7158,684.6318,379.9822,1.4822,674.2172,379.9120,-0.4760,664.4917,380.5367,-2.0697,654.1931,382.6741,-3.0945
315,774.1053,360.5518,-2.8799,764.4864,362.3563,-3.7638,754.7697,365.0198,-3.2193,745.1006,368.2674,-2.4676,735.9120,371.9378,-0.5062,726.2021,375.3371,1.3735,716.6150,378.0530,2.7781,706.9112,379.9821,3.3534,696.7173,380.6401,3.8245,686.6099,380.5708,2.2612,676.1216,380.9086,0.7257,666.0251,380.8510,-1.0729,655.9992,381.6258,-2.9439
316,775.9689,360.0554,-1.9336,766.2534,361.8577,-3.1864,756.5758,363.8820,-3.6112,746.6702,367.2239,-2.9265,737.2706,370.3534,-1.3972,728.1353,374.4800,-0.0293,718.4841,377.6083,1.9596,708.8998,380.3623,3.2086,698.8301,381.6464,3.6110,688.6195,381.8287,3.3310,678.5597,381.1774,1.9759,668.0418,381.0740,0.0874,658.0045,381.6888,-1.8966
317,778.0511,360.0571,-0.9706,767.6448,361.2734,-2.5672,758.0399,363.5564,-3.6279,748.4241,366.2779,-3.6285,739.0181,369.3187,-2.2767,729.5734,372.9155,-1.1690,719.9238,376.5058,1.0057,710.2571,379.7828,2.5320,700.8876,381.9938,3.6730,690.5524,382.6717,3.3267,680.7385,382.6383,2.8208,670.2405,382.1430,0.8791,659.8173,381.9767,-0.8950
318,779.8759,360.1467,0.5319,769.4667,361.0282,-1.6315,760.1769,363.1686,-3.0516,750.1071,365.1301,-3.3095,740.6139,368.3474,-3.1999,730.9514,371.6037,-2.1254,721.7690,375.6939,0.0800,712.2512,379.0404,1.4755,702.5406,381.8372,2.6489,692.4622,383.0648,3.8995,682.6056,383.6265,3.3044,672.3900,383.2731,2.0732,661.8399,382.8886,0.2976
319,781.6269,359.9849,1.2198,771.5857,361.1286,-0.4895,761.7852,362.4009,-2.2403,751.8240,364.3313,-3.3967,741.9678,366.7666,-3.6104,732.7704,370.6469,-2.8983,723.2555,374.2669,-1.2884,713.6430,378.1369,0.5944,704.0183,381.3466,2.2841,694.3751,383.3760,3.5294,684.6026,384.8489,3.3783,674.2015,384.4281,2.7187,663.8185,383.9315,1.1275
320,783.3081,360.1532,2.4840,773.4008,361.3706,0.5898,763.2799,362.3359,-1.0934,753.6755,364.0188,-2.4045,744.0570,366.0164,-3.5650,734.1853,369.0531,-3.4638,724.4954,372.7764,-2.4232,715.3204,376.4694,-0.4662,705.7018,380.7192,1.0877,696.3895,383.3397,2.5918,686.3536,385.1921,3.4746,676.4814,385.5904,3.2848,666.0554,385.2878,2.4232
321,785.5761,360.3003,2.8811,775.4547,361.4099,1.7095,765.1238,362.3918,-0.2007,755.3408,363.6501,-1.9751,745.3341,365.4436,-3.4000,735.7218,367.8314,-3.5591,726.4395,371.3369,-2.9335,716.7779,375.2052,-1.9122,707.5871,379.0827,0.2650,697.9940,383.0126,1.8215,688.3012,385.0387,3.3268,678.4152,386.5923,3.3020,668.2021,386.6870,3.3104
322,787.0134,360.8483,3.3085,777.0399,361.9484,2.4359,767.1831,362.6360,1.2970,757.1520,363.8727,-0.7689,747.0630,365.1904,-2.4710,737.4822,367.0074,-3.1789,727.5914,370.1486,-3.7384,718.2383,373.4184,-2.5578,709.0206,377.8655,-1.2972,699.5357,381.8572,0.9912,689.9082,384.9130,2.5996,680.4662,386.5006,3.5402,670.0970,387.2468,3.7137
323,788.9647,360.6430,3.7204,779.0940,361.9538,3.1312,769.1796,363.0474,2.0451,758.9157,363.5489,0.4383,748.9157,364.8878,-1.2830,739.4621,366.2381,-3.2660,729.2734,369.0580,-3.6147,719.9682,372.1562,-3.2851,710.6771,376.4611,-1.6378,701.2684,380.2038,-0.1297,691.7604,384.1127,1.2171,682.3300,387.0533,2.9890,672.2000,388.4636,3.4921
324,790.9542,360.6762,3.3787,781.0800,361.8684,3.5232,770.6711,363.4135,2.9459,760.9734,364.1101,1.5083,750.8269,364.8993,-0.4944,740.6239,365.9249,-2.1951,730.9797,367.8465,-3.1274,721.4142,370.7443,-3.5953,711.7844,374.7463,-2.8706,702.7393,378.7089,-1.5592,693.2440,383.2584,0.6535,683.6877,386.3811,2.2867,674.3696,388.6349,3.1709
325,792.5344,360.0976,3.0834,782.8681,362.1988,3.4781,772.7893,363.6301,3.3811,762.9732,364.3568,2.3653,752.8153,365.1602,0.6937,742.7976,365.7247,-1.2113,732.7632,367.5961,-2.7305,723.1863,369.4703,-3.4272,713.7029,373.0656,-3.5057,704.3675,376.8956,-2.2590,694.9478,381.4820,-0.7277,685.5369,385.5005,1.5343,676.1623,388.8686,2.7598
326,794.3380,359.7197,2.0178,784.6857,361.9181,3.1442,774.9298,364.3218,3.5222,764.7468,364.9975,3.2754,754.7567,365.6638,1.7027,744.6260,366.2779,-0.0300,734.6922,367.2705,-1.6727,724.6738,368.8024,-3.2324,715.1272,371.6992,-3.5088,705.6501,375.2167,-3.2075,696.2265,379.6585,-1.7309,687.2446,384.3160,-0.0994,677.4523,387.9286,2.0139
327,796.0177,359.0491,0.8096,786.5176,361.7981,2.4736,776.4232,363.9513,3.4029,766.7448,365.1758,3.7417,756.6956,366.4163,2.6995,746.6741,366.6346,0.9040,736.2383,367.3562,-0.8173,726.5487,368.2443,-2.5043,716.5167,370.2484,-3.4582,706.9363,374.2656,-3.4216,698.0043,378.0585,-2.5572,688.4098,382.5590,-0.7413,679.1339,387.0107,0.8354
328,797.8509,358.1863,-0.1010,788.3104,361.1754,1.5883,778.5155,363.8424,3.1925,768.5944,365.6026,3.6056,758.6829,366.5455,3.3324,748.6971,367.3341,2.0799,738.3032,367.7078,0.2415,728.3141,368.2184,-1.4922,718.5600,369.7435,-2.9566,708.8796,372.3737,-3.7483,699.3614,376.1017,-3.1869,690.0028,380.6949,-2.0321,680.7047,385.4560,-0.2847
329,799.4812,357.6724,-1.4491,789.7810,360.4925,0.4629,780.2665,363.1738,2.0446,770.3795,365.6568,3.4192,760.6392,367.1117,3.2972,750.5890,367.8328,2.8942,740.3289,368.1140,1.4057,730.2197,368.7226,-0.4628,720.4555,369.3614,-1.9029,710.5957,371.3552,-3.5205,700.7098,374.4761,-3.4798,691.5345,378.8025,-3.1094,681.9325,383.4829,-1.1555
330,801.0423,356.7772,-2.4877,791.4686,359.7847,-0.6099,782.0950,362.8329,1.1809,772.1933,365.1754,2.7650,762.7266,367.1189,3.5277,752.6184,368.5555,3.1236,742.3172,369.0574,2.3493,732.1012,369.1514,0.8441,721.8811,369.8232,-1.3088,712.0600,370.7921,-2.6230,702.5442,373.2067,-3.8166,692.8300,376.6468,-3.6845,683.5798,381.4061,-2.3446
331,802.4214,355.6732,-2.8038,793.0359,358.8922,-1.9414,783.6802,361.9717,0.1269,773.9908,364.9020,1.7547,764.0573,367.4607,3.2551,754.4544,368.8751,3.4638,744.1870,369.4789,2.9159,734.2349,369.9620,1.6579,724.1759,369.9246,-0.0931,714.1165,370.9231,-1.6872,704.2013,372.1888,-3.2221,694.3006,375.5089,-3.7988,684.9903,379.3521,-3.1762
332,804.1890,354.9699,-3.3752,794.7402,357.4382,-2.6722,785.2188,360.8310,-1.0150,775.5726,364.1777,0.8864,766.1412,367.1355,2.5980,756.2201,369.1081,3.0571,746.2107,370.4281,3.4956,735.9807,370.5289,2.5431,725.8393,370.5968,1.1556,715.9816,370.9674,-1.0148,705.9811,372.0926,-2.5034,696.0868,373.9473,-3.6099,686.7764,377.6901,-3.4879
333,806.0425,353.9745,-3.4837,796.5168,356.8696,-3.3711,786.7904,359.7897,-2.2420,777.5408,363.1983,-0.4808,767.7565,366.3131,1.3929,758.2705,369.0335,3.0315,748.4101,370.9344,3.6012,738.0359,371.4127,3.3108,727.9051,371.6243,2.1996,717.9318,371.3767,0.2203,707.7627,371.7914,-1.5781,697.7124,373.4826,-3.0484,688.1308,376.0490,-3.5154
334,807.6984,353.3644,-3.5088,797.8570,355.5555,-3.5772,788.4131,358.7138,-2.7578,778.6586,362.1275,-1.4260,769.1750,365.3945,0.6062,759.6312,368.7660,2.0302,750.0531,370.8656,3.1991,739.9964,372.1954,3.4899,729.8632,372.4816,2.8608,719.8326,372.2665,1.5073,709.4610,372.0704,-0.6385,699.4680,373.0024,-2.5488,689.4163,374.9545,-3.2733
335,809.2351,352.9244,-2.7764,799.6661,354.9316,-3.4970,790.0199,357.7335,-3.3767,780.6414,360.8666,-2.3701,770.6300,364.5307,-0.5493,761.2668,367.5038,1.2175,751.7379,370.5844,2.9680,742.0431,372.5250,3.6046,732.0646,372.9809,3.4782,722.1206,373.3064,2.4745,711.6557,373.3272,0.5534,701.5625,372.9417,-1.1915,691.3878,374.2706,-2.9167
336,811.4025,352.4292,-1.9066,801.4068,354.2749,-3.1964,791.6125,356.5711,-3.7148,782.1534,359.8316,-3.0196,772.4966,363.2015,-1.3770,763.1620,366.6002,-0.1973,753.7750,369.9133,1.8824,743.8074,372.5160,3.3979,734.0750,373.9188,3.4968,723.5854,374.3723,3.0554,713.2886,373.9556,1.4782,703.1933,373.8493,-0.3486,693.1324,374.0578,-1.7801
337,813.1173,352.5372,-1.0343,802.9026,354.1480,-2.5238,793.1405,355.8023,-3.2653,783.5051,358.6748,-3.7930,774.4626,361.8997,-2.6786,764.5690,365.3109,-1.0679,755.1239,369.2662,0.8491,745.6788,372.3101,2.6882,735.7919,374.0889,3.5155,725.7275,374.8948,3.3087,715.9134,375.2462,2.5852,705.2012,374.9001,0.9892,694.7657,374.1878,-1.0487
338,814.9585,352.2015,0.0357,805.0940,354.0442,-1.8839,794.8711,355.2805,-3.0831,785.2539,357.2668,-3.7024,775.7107,360.4022,-3.1978,766.1003,364.1091,-1.7647,756.6094,368.3030,-0.5324,747.3352,371.5723,1.7090,737.5120,374.3620,3.1491,727.9617,375.5071,3.6724,717.7728,376.1481,3.5051,707.3989,375.7838,2.0166,697.1031,375.3970,0.3640
339,816.7156,352.3554,1.5107,806.6945,353.6673,-0.4815,796.7846,355.0690,-2.1963,787.0893,357.0965,-3.2320,777.3721,359.6349,-3.6135,767.7204,362.9757,-2.8818,758.2881,366.6170,-1.2883,748.8176,370.6080,0.2891,739.4960,373.9521,2.2564,729.8513,376.0565,3.5639,719.7638,377.1600,3.4529,709.4238,377.0232,2.7624,698.9476,376.2123,1.6767
340,818.5911,352.7602,2.4875,808.6683,353.9514,0.5368,798.5712,354.8663,-1.2632,788.4858,356.5003,-2.8309,778.9596,358.4217,-3.5047,769.3719,361.4443,-3.1434,760.0015,365.1498,-2.3374,750.5729,369.4261,-0.4159,741.1984,372.6041,1.0585,731.5893,375.6461,2.8066,721.4153,377.8359,3.5172,711.5213,377.9232,3.2662,700.9256,377.7255,2.2951
341,820.5887,352.8942,3.1868,810.5819,354.0912,1.7482,800.4049,354.9552,-0.1175,790.5525,355.8410,-1.6882,780.5065,357.9216,-3.1495,770.8478,360.5725,-3.5370,761.3776,363.5513,-2.9771,752.1442,367.6942,-1.5381,742.9085,371.9479,0.0555,733.1109,375.3365,1.8924,723.5194,377.5396,3.1391,713.5317,378.9080,3.4784,703.3762,378.8184,3.0012
342,822.4751,353.0911,3.6285,812.3671,354.0295,2.7898,802.6368,355.0434,1.0634,792.4105,355.9099,-0.9593,781.9254,357.5753,-2.5779,772.6972,359.6983,-3.3507,763.0799,362.5568,-3.5962,753.5526,366.2128,-2.5302,744.2443,370.2920,-0.7531,734.9686,374.4513,1.0089,725.3082,377.4599,2.5554,715.4645,379.6987,3.3164,705.4606,379.9716,3.3256
343,824.2381,353.1805,3.6774,814.1792,354.4107,3.2666,804.2137,355.6733,2.1469,794.2701,356.2772,-0.1841,784.1754,357.1677,-1.6177,774.3248,358.5337,-3.0500,764.6958,361.2571,-3.5383,754.8322,364.7635,-3.2318,745.7129,368.5338,-2.3242,736.2665,373.0644,-0.0907,726.8203,376.8601,1.7207,717.4457,379.1626,2.8278,707.2390,380.9695,3.7601
344,825.9644,353.1867,3.3011,816.1951,354.7724,3.5915,806.2752,355.8544,2.7501,796.0393,356.5510,1.4590,786.1965,357.0832,-0.5556,776.2658,358.4394,-2.0971,766.4385,360.3297,-3.5645,756.8553,363.1751,-3.7801,747.4169,366.9453,-2.9449,737.7587,371.2690,-1.3423,728.4588,375.5503,0.2837,719.0873,379.0097,2.3296,709.3426,381.3567,3.2058
345,827.7929,352.9190,2.5710,817.8992,354.6889,3.4469,808.3792,356.0653,3.3681,798.0715,357.2811,2.1805,787.7761,357.7996,0.5796,777.9437,358.3625,-1.2796,767.8612,359.7129,-2.7885,758.3160,361.9479,-3.4326,748.9548,365.6181,-3.5354,739.4691,369.8537,-2.2730,730.0304,373.9200,-0.7724,720.7564,378.2499,1.1997,711.3674,381.0362,2.7338
346,829.4563,352.1164,2.1707,819.7785,354.6130,3.1742,810.1292,356.7398,3.7465,799.9470,357.7643,3.0451,789.9018,358.4104,1.7113,779.8699,358.3670,0.0673,769.6487,359.5422,-1.9593,759.9762,361.3946,-3.0465,750.3055,364.0449,-3.5287,740.7689,367.7513,-3.0921,731.6553,371.9456,-1.7354,722.2099,376.8713,-0.0035,713.0163,380.4939,1.8162
347,831.1686,351.4646,0.9107,821.4601,354.1283,2.4760,812.0331,356.4876,3.3863,801.8130,357.8847,3.5458,792.1570,358.8075,2.5043,781.4869,358.9722,1.2058,771.7901,359.8821,-0.8803,761.6072,360.9041,-2.4361,751.8139,362.9309,-3.4360,742.4167,366.3570,-3.4082,733.1011,370.3678,-2.4100,723.6659,374.9507,-0.9830,714.5488,379.5671,0.9811
348,832.7016,350.8859,-0.4129,823.4666,353.5831,1.7001,813.6028,356.5642,2.7163,803.8355,358.0073,3.5709,793.6320,359.2754,3.3464,783.5584,359.6590,2.1862,773.3956,360.0313,0.0679,763.6843,360.8676,-1.4465,753.4975,362.3750,-3.0082,744.0266,364.7787,-3.6904,734.8379,368.6989,-3.2300,725.4581,372.8987,-1.9391,715.8881,377.9069,-0.3856
349,834.7065,349.8809,-1.6791,825.1127,353.0568,0.5136,815.5395,356.0155,2.2080,805.8058,358.3954,3.2110,795.6035,359.7769,3.2963,785.8492,360.4379,2.8454,775.4872,360.8335,1.3215,765.3832,361.0635,-0.1888,755.5325,361.8848,-2.1748,745.6256,363.8216,-3.2419,735.9353,366.9708,-3.3975,726.6632,371.2886,-2.6339,717.5119,376.0510,-1.7183
350,836.3201,348.9821,-2.6610,826.5636,352.2088,-0.6993,817.1373,355.1144,1.2119,807.3954,358.1162,2.9181,797.6807,359.9430,3.2974,787.7278,361.0107,3.3001,777.6467,361.4438,2.6137,767.3734,361.6805,0.4527,757.4012,362.1138,-1.1493,747.2923,363.4094,-2.7273,737.7550,365.9611,-3.4452,727.9375,369.3710,-3.2744,718.8881,374.0296,-2.3168
351,838.0924,348.0989,-3.1124,828.2993,351.1511,-1.9565,818.8301,354.3043,-0.0161,809.0357,357.3512,1.5230,799.4177,359.9596,3.1265,789.4079,361.2888,3.5970,779.2857,362.0524,3.0340,769.1782,362.3986,1.7305,759.0614,362.4091,-0.2032,749.0093,363.3621,-2.0262,739.2789,364.7487,-3.0825,729.6180,367.8300,-3.7947,720.3533,372.1394,-2.8168
352,839.5972,346.9908,-3.5700,829.8247,350.1325,-2.5670,820.4175,353.5398,-1.1663,810.8780,356.3382,0.9317,801.0973,359.5375,2.8416,791.5893,361.8824,3.2541,781.4915,362.8592,3.3499,771.4010,363.1286,2.4629,761.0328,363.1479,0.8285,750.9506,363.6948,-0.9862,740.8084,364.4069,-2.3781,731.5071,366.8154,-3.0555,721.8605,370.2995,-3.4988
353,841.2455,346.5041,-3.4122,831.7066,349.1596,-3.1886,821.8453,352.2079,-2.1038,812.6723,355.7395,-0.1427,803.0716,358.6361,1.5921,793.5440,361.5574,2.9549,783.2395,363.5755,3.7523,773.5078,363.9386,3.1526,763.0352,364.0761,1.9022,753.1405,364.2773,0.3809,742.8701,364.3603,-1.5451,732.7429,366.1533,-2.9142,723.4119,368.3254,-3.4519
354,843.0291,345.9980,-3.3461,833.5358,348.2788,-3.5657,823.6834,351.0975,-2.8961,814.1107,354.1576,-1.2712,804.7691,357.9363,0.6402,795.1195,361.2392,2.0883,785.5887,363.3047,3.4468,775.3160,364.3315,3.4527,765.2583,364.8822,2.7475,754.7954,364.7298,1.1071,744.5272,364.6992,-0.4043,734.3979,365.5176,-1.9357,724.7208,367.4929,-3.2174
355,844.6153,345.8391,-2.8321,835.0672,347.5082,-3.5072,825.1141,350.2145,-3.5558,815.7509,353.2944,-2.1579,806.1767,356.9672,-0.5757,796.5856,360.2981,1.2176,786.9397,363.1103,2.8073,777.3580,365.1484,3.5942,767.1970,365.7084,3.6748,756.7497,365.9649,2.4155,746.8625,365.9349,0.6993,736.6028,365.7689,-1.0984,726.4157,367.0049,-2.8052
356,846.1993,345.2593,-1.9488,836.7891,346.8851,-3.0994,826.7952,349.3129,-3.5442,817.3100,352.1970,-3.0753,807.6316,355.6529,-1.3637,798.5665,359.4030,-0.0836,788.8297,362.5934,1.9373,779.1919,365.1981,3.1608,769.0836,366.1979,3.4761,759.2055,367.1493,3.1362,748.7543,366.6222,1.3083,738.2689,366.0929,-0.3022,728.3840,366.7817,-2.2703
357,848.5562,345.1286,-0.7385,838.2048,346.3106,-2.4356,828.4320,348.5975,-3.3774,818.8698,351.2960,-3.5155,809.3024,354.2258,-2.7365,800.2167,358.1631,-1.1164,790.2754,361.7717,0.7330,780.7688,364.7367,2.4542,770.9575,366.8204,3.3558,761.2027,367.6828,3.4432,750.9459,367.7297,2.6644,740.7054,367.3328,1.0516,730.3199,366.9912,-0.8375
358,850.3287,345.1014,0.1826,839.9555,346.1929,-1.7294,830.4139,347.9955,-2.8029,820.4526,349.8215,-3.7756,810.9812,353.3091,-3.1530,801.5011,356.7746,-1.9669,792.3575,360.6237,-0.2592,782.6851,363.8407,1.5754,772.7464,366.8819,2.9450,763.1136,368.1130,3.9372,752.7943,368.7837,3.4059,742.5130,368.3649,2.0012,732.3579,367.5019,0.1082
359,852.0508,345.1881,1.3486,842.0560,346.1262,-0.7933,831.7993,347.7095,-2.3429,821.9767,349.5001,-3.4955,812.3618,352.0454,-3.7037,803.2012,355.3749,-2.7613,793.4635,359.2430,-1.2240,784.0782,362.8305,0.3099,774.6755,366.6656,1.9061,764.7785,368.4117,2.9986,755.0779,369.6316,3.4088,744.6668,369.3697,2.5966,734.2935,369.0943,1.3921
360,853.6637,345.3891,2.3634,843.6755,346.5742,0.3928,834.0208,347.2928,-1.2094,824.0634,348.7317,-2.8420,814.1058,351.2556,-3.4390,804.6153,354.1496,-3.4501,795.1330,357.9316,-1.9614,785.8679,361.5912,-0.5845,776.0015,365.6252,1.2637,766.6285,368.4612,2.5800,756.7358,370.2189,3.7993,746.6953,370.5560,3.2864,736.4226,370.1940,2.4229
361,855.7087,345.3777,2.9517,845.8100,346.6241,1.8880,835.6905,347.3972,0.0469,825.7921,348.8416,-1.7121,815.9682,350.3741,-3.1856,806.3540,353.0776,-3.6093,796.8994,356.2122,-3.1936,787.3827,360.1895,-1.6610,777.9911,364.3983,0.0652,768.2743,367.7475,2.2905,758.9404,370.4880,2.9654,748.9031,371.4788,3.6458,738.3070,371.8458,2.9234
362,857.7053,345.6670,3.6795,847.8018,346.8495,2.4293,837.7554,347.8827,0.9877,827.6240,348.6595,-1.0002,817.5407,349.9858,-2.2691,807.7450,352.1484,-3.5695,798.4833,354.8808,-3.4055,788.8015,358.5801,-2.4417,779.4278,362.7371,-0.7467,770.0705,366.7165,0.9744,760.3451,370.1470,2.6390,750.8423,371.9915,3.3628,740.7217,372.7776,3.5313
363,859.1782,346.0064,3.7836,849.5497,347.2822,3.3882,839.4154,348.0827,1.8715,829.3848,348.7575,0.4169,819.4689,349.9268,-1.5688,809.8805,351.3088,-3.0732,799.7022,353.9836,-3.9288,790.3625,357.1044,-3.1274,780.7930,361.1437,-2.0468,771.7535,365.5817,-0.0166,762.2127,369.1175,1.7490,752.8589,372.0397,2.9277,742.7706,373.4279,3.4784
364,861.2700,345.4116,3.2153,851.7608,347.3055,3.6538,841.3602,348.4819,2.7582,831.4950,349.3623,1.4380,821.4076,349.9706,-0.5043,811.3344,351.1473,-2.2268,801.4096,352.6079,-3.1501,791.7842,355.8623,-3.6802,782.5461,359.6212,-2.9988,773.4097,363.8911,-1.2603,763.8431,367.9531,0.4466,754.6072,371.3481,2.1530,744.7461,373.5372,3.1477
365,862.9576,345.1167,2.6362,853.1203,347.2193,3.7425,843.1763,349.0592,3.4703,833.1059,349.7450,2.3133,823.2539,350.5836,0.7849,813.0808,350.9646,-1.3920,803.2300,352.2349,-2.6099,793.4524,354.8519,-3.7913,783.8545,358.0601,-3.3403,774.4938,361.9577,-2.1775,765.1699,366.6455,-0.6206,755.9413,370.5043,1.5138,746.3086,373.1807,2.7259
366,864.9420,344.7083,1.8630,855.3133,347.1320,3.0801,845.1614,348.9151,3.6520,835.4485,350.1462,3.2284,825.0628,350.8609,1.4185,814.8591,351.2369,-0.0086,805.0508,352.0927,-2.0922,795.2444,353.4362,-3.1694,785.4219,356.6624,-3.5995,776.1598,360.4657,-2.8599,766.9594,364.9482,-1.6671,757.5487,369.4840,0.1160,748.0669,372.7745,1.9726
367,866.5451,344.2677,0.8149,856.6792,346.5810,2.5080,847.0353,349.0362,3.5222,837.2982,350.6329,3.5617,826.8088,351.2066,2.7318,816.8559,351.5453,0.9044,806.9049,352.2119,-0.9410,796.7046,353.6550,-2.3571,786.9428,355.1680,-3.4355,777.4755,358.8221,-3.5752,768.2811,363.0096,-2.8729,758.9974,367.3700,-0.9780,749.7644,371.8478,0.9835
368,868.2586,343.5445,-0.5086,858.5849,346.3864,1.6379,848.8232,348.8732,3.0717,839.3201,350.8590,3.2642,829.0316,351.9596,3.1643,818.9763,352.3793,1.8068,808.4668,352.9761,0.0541,798.6452,353.4209,-1.4787,788.7255,354.9100,-2.7380,779.3085,357.3017,-3.6041,769.6598,361.1916,-3.1698,760.4206,365.7630,-2.0866,751.2207,370.7104,0.0104
369,869.6779,342.1448,-1.5085,860.4145,345.4112,0.5066,850.6090,348.4886,2.1767,840.8045,350.4771,3.3280,830.9737,352.2101,3.6333,820.8325,353.2109,2.8390,811.0365,353.1106,1.2460,800.4286,353.2898,-0.6236,790.5235,354.3665,-2.0673,780.8651,356.3463,-3.2470,771.0933,359.5650,-3.7506,761.7098,363.7450,-3.0530,752.5671,368.7410,-1.1621
370,871.4816,341.8298,-2.2760,862.0317,344.6952,-0.6332,852.1434,347.3505,1.1494,842.6925,350.4012,2.6484,832.9553,352.4546,3.6781,822.8063,353.7553,3.3734,813.0016,353.8030,2.6023,802.7591,354.1265,0.5888,792.4379,354.8085,-1.2329,782.1235,355.8506,-2.5832,772.7519,358.3453,-3.5330,763.0779,362.0624,-3.4630,754.3356,366.4672,-2.2668
